date,phase,category,impact,title,detail,verified,source
2024-01-22,PRE,시장,미확인,"+21.9% · 거래대금 5,230억 (60일 평균의 7.5배)",기간 내 거래대금 상위 13위. 사유 미확인 — AI 기판 수요 기대 국면으로 추정되나 확인 필요,미확인,자동탐지
2024-03-04,PRE,시장,미확인,"+20.1% · 거래대금 6,465억 (7.7배)","다음날(03-05)도 6,814억(7.0배). 이틀 연속 대규모 자금 유입. 사유 미확인",미확인,자동탐지
2024-05-16,PRE,시장,미확인,"+18.8% · 거래대금 9,764억 (5.4배)",기간 내 거래대금 2위. MSCI 5월 정기변경 첫 반영일과 날짜가 겹치나 이수페타시스는 5월 편입 종목이 아니다(8월 편입 후보로 거론). 사유 미확인 — 확인 필요,미확인,자동탐지
2024-11-08,T0,공시,부정,5500억 유상증자 결정 공시,"장 마감 후 기습 공시. 제이오 지분인수 3,000억(55%) + 신규 5공장 부지·시설·공정자동화 2,500억(45%). 신주 10,162,800주 / 증자전 보통주 63,246,419주 → 희석률 13.84%. 호재는 시간외단일가 시간대에, 유증은 장 종료 후 공시해 타이밍 논란",확정,DART 주요사항보고서(유상증자결정)
2024-11-11,T0,시장,부정,공시 첫 반영 — 급락,종가 23875원. 시장은 5500억 전체를 비관련 M&A의 색으로 일괄 할인,확정,한국경제
2024-11-18,T1,공시,중립,유상증자 증권신고서 제출,,확정,DART 증권신고서(지분증권)
2024-12-02,T1,시장,부정,기간 내 최저 종가,종가 20520원. D-day 대비 -33.5%,확정,시세데이터
2024-12-03,T1,규제,긍정,금감원 정정요구 — 증권신고서 효력정지,유상증자에 제동. 시장은 이를 '악재 축소 가능성'으로 해석. 전체 기간 거래량 1위(평균 10.8배),확정,한국경제
2024-12-11,T1,공시,중립,금감원 정정요구에 따른 증권신고서 정정 제출,효력정지 이후 정정신고서 제출. 이 시점까지도 제이오 인수 계획은 유지,확정,DART 20241211000410
2024-12-12,T1,공시,부정,회사 제이오 인수 강행 의사 표명,유상증자와 차입금을 함께 활용해 인수를 강행하겠다는 방침. 상대강도(RS) 최저점을 만든 지점,확정,더벨
2025-01-23,T1,계약,긍정,제이오 SPA 해제 — 유증 5500억에서 2500억으로 축소,"매도인의 의무 불이행으로 계약 해제 사유 발생. 자금용도에서 F항목(비관련 M&A) 3,000억이 통째로 제거됨. 같은 날 「주요사항보고서(타법인주식및출자증권양수결정)」과 「주권관련사채권의취득결정」도 함께 정정",확정,DART 20250123000372 / 한국경제
2025-01-24,T1,시장,긍정,철회 반영 — 하루 +28.01%,장중 +29.58%까지 상승. 증권가 목표주가 최대 2배 상향. 실적 변화 없이 악재 제거만으로 발생한 멀티플 리레이팅,확정,파이낸셜뉴스/뉴시스
2025-02-06,T1,공시,중립,주요사항보고서·증권신고서 정정,제이오 인수 철회를 반영한 조건 재산정 과정,확정,DART 20250206000523
2025-02-21,T1,공시,긍정,1차 발행가액 33500원 확정,"당초 예정가 24,600원 대비 +36%. 모집총액 2,500억에서 3,404억으로 확대. 시장이 자금용도를 승인했다는 하드 증거",확정,DART 20250221000026 / 디지털투데이
2025-03-06,T1,공시,중립,타법인주식및출자증권취득결정 정정,제이오 관련 취득 계획 정리,확정,DART 20250306801149
2025-04-07,T1,공시,긍정,최종 발행가액 27800원 확정 — 2825억 전액 시설자금,"예정가 24,600원 대비 여전히 +13%. 조달액은 2,500억에서 2,825억으로 오히려 증가. DART 확정 시설자금 282,525,840,000원 전액",확정,DART 20250407001102 / 네이트뉴스
2025-04-09,T1,일정,중립,구주주 청약 (~04-10),,확정,네이트뉴스
