date,phase,category,impact,title,detail,verified,source
2024-08-27,사전,자본,부정,5:1 무상감자 후 변경상장,결손금 보전 목적. 본건 D-day의 15개월 전이며 두 번째 감자의 예고편이다,확정,DART 20240617000168
2024-11-29,사전,지배구조,중립,최대주주 변경 — ㈜한울반도체,제3자배정 유상증자 납입과 함께 최대주주가 바뀌었다. 이때부터 조달-지배구조 변경이 한 묶음으로 반복된다,확정,DART 20241129900716
2025-01-17,사전,규제,부정,불성실공시법인 지정(공시변경) — 벌점 5.0,제주맥주 시절 전환사채 납입기일 6개월 이상 변경. D-day 시점 '최근 1년 벌점 5.0'이 이미 살아 있었다,확정,DART 20250116900473
2025-04-14,사전,기타,중립,상호 변경 — 제주맥주 → 한울앤제주,2021년 테슬라 요건으로 상장한 수제맥주 회사가 최대주주 변경 5개월 만에 이름을 바꿨다,확정,DART 20250414900527
2025-10-24,사전,공시,부정,소액공모 제3자배정 유상증자 10억 결정(운영자금 100%),배정 대상 럭키파트너스1호조합 — 출자자 1명·자본총계 1000만원. 납입 예정일 2025-11-03,확정,DART 20251024000493
2025-11-14,T0,구분,중립,기준일 — 종가 2055원(수정 4110원),3분기보고서 제출일. 이날까지 유상증자 정보는 공개되지 않았다,확정,시세데이터
2025-11-17,T0,공시,중립,제3자배정 유상증자 120억 결정 — 시설자금 100%인데 세부내역 '미정',신주 6472491주 @1854원(기준주가 2060원·할인율 10%). 희석률 29.22%. 배정 대상 케이파트너스1호투자조합(출자자 2명·재무사항 전 항목 미기재). 당일 +10.46%·거래량 9.3배,확정,DART 20251117000191
2025-11-25,T0,일정,부정,납입 완료 — 최대주주가 케이파트너스1호투자조합(29.22%)으로 변경,종가 1826원으로 발행가 1854원을 밑돈 상태에서 납입됐다. 기존 최대주주 한울반도체는 청약하지 않아 24.18% → 17.11%로 희석,확정,DART 20251125900518
2025-11-27,T1,공시,부정,시설자금 사용처 확정 정정 — 제주 구좌읍 토지·건물 255억 취득,거래상대방 ㈜에프앤비모빌리티는 공시상 '최대주주의 특수관계인'. 양수금액은 자산총액의 77.06%. 계약금 55%(140억)를 계약 당일 지급. 외부평가 기간은 나흘(11/24~11/27),확정,DART 20251127001341 · 20251127001426
2025-12-17,T1,공시,부정,신주 6472491주 상장 — 같은 날 유형자산 양수 계약 철회,철회 사유는 '부동산 시장의 불확실성 증대'. 계약금 140억은 12/17 20억·12/24 120억으로 반환. 조달 목적이 공시 30일 만에 사라졌다,확정,DART 20251217000592
2025-12-22,T1,시장,부정,이틀 연속 급락 -10.8% / -9.5%,거래량 29만주·43만주. 철회 공시 이후 첫 본격 반응이며 이 구간에서 RS가 100 아래로 고착됐다,확정,시세데이터
2025-12-23,T1,공시,부정,소액공모 증자 정정 — 배정자 교체·발행가 -16.7%·납입 3개월 연기,럭키파트너스1호조합 → 샤를고바조합1호. 581057주 1721원 → 697268주 1434원. 납입일 2025-11-03 → 2026-01-30,확정,DART 20251223000845
2025-12-31,T1,지배구조,부정,케이파트너스1호투자조합의 최대출자자 변경 — 강용호 → ㈜한울반도체,120억을 넣고 최대주주가 된 조합의 지분 100%를 직전 최대주주가 사갔다. 신주 납입 36일 만이다,확정,DART 20251231900447
2026-01-13,T1,규제,부정,불성실공시법인 지정예고(공시번복),대상은 유형자산 양수 결정 철회,확정,DART 20260113900645
2026-02-05,T1,규제,부정,불성실공시법인 지정 — 벌점 8.5·제재금 3400만원·매매거래 1일 정지,최근 1년 누적 벌점 8.5. 2025-01 지정에 이어 13개월 만의 두 번째 지정,확정,DART 20260204901238
2026-03-11,T2,자본,부정,10:1 무상감자 결정(결손금 보전),자본금 110.7억 → 11.1억. 감자기준일 2026-04-13. 유상증자 납입 3.5개월 만에 감자를 결의했다,확정,DART 20260311004253
2026-03-18,T2,실적,부정,2025년 사업보고서 — 연결 매출 138.9억(-24.0%)·영업손실 49.0억,3년 연속 영업적자. 자산총계는 604억으로 늘었지만 부채도 444억으로 함께 늘었다,확정,DART 20260318001702
2026-04-10,T2,일정,부정,감자 매매거래정지 개시(~2026-05-05),정지 직전 종가 767원. D-day 2055원 대비 -62.7%,확정,DART 20260311004253
2026-05-06,T2,시장,중립,감자 후 재상장 — 기준가 7670원·시초가 9250원·종가 12020원,시초가가 기준가의 120.6%였다. 네이버 수정주가는 이 시초가에 과거 구간을 이어붙이므로 감자 이전 주가가 20.6% 부풀려진다,확정,시세데이터 · 키움 ka10081
2026-05-06,T3,공시,부정,또 제3자배정 유상증자 100억 결정(운영자금 100%),신주 1329787주 @7520원. 증자 전 2284709주 대비 희석률 36.8%. 재상장 당일에 다음 조달을 결의했다,확정,DART 20260506000568
2026-07-01,T3,자본,중립,5:1 액면분할 결정(액면 500원 → 100원),감자 3개월 만에 주식수를 다시 5배로. 목적은 '유통 주식수 증가를 통한 거래 활성화',확정,DART 20260701900721
2026-07-09,T3,공시,부정,2026-05 증자 납입 — 예정 99.7억 중 90.7억만 발행,청약미달분은 미발행 처리됐다,확정,DART 20260709900440
2026-08-21,T3,시장,부정,액면분할 후 거래재개 -29.8%,거래량 227만주로 관측기간 최대. 이후 8/25 1056원까지 하락해 D-day 대비 -74.3%,확정,시세데이터
2026-09-04,T3,구분,부정,데이터 기준일 — 초과 -58.8%p · RS 35.2,"D-day 대비 -68.2%, KOSDAQ -9.4%. D+250(2026-11-20)은 아직 도래하지 않았다",확정,시세데이터
