date,phase,category,impact,title,detail,verified,source
2023-11-17,P1,상장,중립,코스피 신규 상장 — 기준일,종가 57200원. 거래량 평균 대비 37.6배. 이 날을 기준일로 삼는다,확정,시세데이터
2023-11-20,P1,시장,긍정,상한가 +29.9%,,확정,시세데이터
2023-11-21,P1,시장,긍정,상한가 +29.9% 2일 연속 · 거래량 15.3배,상장 5거래일 만에 시가총액 50위권 진입 — 코스피200 특례편입 요건 충족 국면,보도,언론보도
2023-11-27,P1,시장,긍정,+25.7% · 거래량 12.1배,코스피200 특례편입 기대감 확산,보도,언론보도
2023-11-29,P1,시장,미확인,+2.6% · 거래량 8.8배,사유 미확인 — 확인 필요,미확인,자동탐지
2023-12-04,P1,시장,부정,장중 154000원 기록 후 -4.15% 급락,편입 확정 전 고점 형성 및 되돌림,보도,언론보도
2023-12-05,P1,시장,부정,-7.66% 급락,,보도,언론보도
2023-12-08,P2,발표,긍정,한국거래소 코스피200 특례편입 발표,신규 상장 후 15거래일 평균 시가총액 50위 이내 요건 충족. 지수 변경일은 12월 15일 선물옵션 만기일로 예고,확정,한국거래소/한국경제
2023-12-15,P3,편입,긍정,코스피200 실제 편입일 — 당일 +20.3% · 거래량 9.8배,선물옵션 만기일. 패시브 자금 기계적 유입. 통념과 달리 편입일에 급등했다,확정,시세데이터
2023-12-18,P3,시장,긍정,편입 다음 거래일 +26.0% · 거래량 8.8배,편입 직후에도 상승 지속. 통념인 편입일 차익실현이 나타나지 않았다,확정,시세데이터
2024-01-10,P4,시장,긍정,기간 내 최고 종가 240000원 · RS 최고 407.7,편입일로부터 약 3주 뒤가 정점. 이 지점 이후 상승 재료가 소멸,확정,시세데이터
2024-06-10,P4,시장,미확인,+2.3% · 거래량 7.8배,사유 미확인 — 확인 필요,미확인,자동탐지
2026-07-09,P4,시장,부정,상대강도(RS) 최저 21.0,기준일 대비 초과수익 완전 소멸. 고점 RS 407.7의 20분의 1 수준,확정,시세데이터
2026-07-29,P4,시장,부정,기간 내 최저 종가 28600원,기준일(상장일) 대비 -50.0%,확정,시세데이터
2026-09-04,P4,시장,중립,데이터 기준일,,확정,시세데이터
