date,phase,category,impact,title,detail,verified,source
2025-05-26,T0,공시,부정,2783억 전액 시설자금 유상증자 결정,"장 마감 후 주주배정 후 실권주 일반공모 공시. 신주 19,570,000주 / 증자 전 32,668,854주로 희석률 37.46%. 예정 발행가 14,220원. 앞서 3,458억원 규모 13,000t급 신규 CLV 투자 공시가 먼저 나와 시간차 공시 논란이 발생",확정,DART 20250526000389 / 신규시설투자 20250526900665
2025-05-27,T0,시장,부정,첫 반영일 -7.93%,"대규모 희석 우려로 정규시장 종가 7.93% 하락. 수정주가 15,692원, 거래량 1,530,762주. 장중 낙폭은 12%를 넘음",확정,네이버 수정주가 / 뉴시스
2025-06-04,T1,시장,긍정,상대강도 100 조기 회복,"공시 후 6거래일 만에 KOSDAQ 대비 상대강도 100 회복. 이후 서해안 에너지고속도로 정책 기대가 전선·해저케이블 업종을 재평가",확정,네이버 수정주가 / 대신증권 2025-06-10
2025-06-09,T1,시장,긍정,에너지고속도로 기대에 +26.89%,"정부의 서해안 에너지고속도로 조기 착공 기대가 전선·해저케이블주에 유입. 거래대금 915억원, 개인 +62억·외국인 -42억·기관 -7억",확정,네이버 수정주가 / 대신증권 Morning Meeting Brief
2025-06-20,T1,계약,긍정,해저광통신케이블 설치 공사 333억 수주,"계약금액은 2024년 연결 매출의 25.6%. 신규 CLV가 아닌 기존 사업 수요의 확인 신호",확정,DART 20250620900309
2025-06-26,T1,공시,긍정,1차 발행가 21900원·LS전선 전량 청약 결정,"1차 발행가는 최초 예정가보다 54.0% 높아졌고 LS전선은 배정 신주 13,623,559주 전량 참여 결정. 다음 거래일 주가 +9.93%",확정,DART 20250626000379 / 20250626000396
2025-07-02,T1,시장,긍정,상대강도 최고 176.5,"기준일 이후 KOSDAQ 대비 상대강도 최고. 시설투자·정책 수혜 기대가 실제 설비 가동보다 먼저 가격에 반영",확정,네이버 수정주가
2025-07-08,T1,계약,긍정,안마해상풍력 940억 계약,"2024년 연결 매출의 72.15% 규모였으나 2026년 4월 발주처 통보로 해지. 수주 기대의 가변성을 보여준 반례",확정,DART 20250708900063 / 20260427900710
2025-07-22,T1,실적,긍정,2025년 상반기 매출 1115억·영업이익 64억,"전년 동기 대비 매출과 이익 증가. 신규 CLV 가동 전 실적이므로 기존 해저·지중 사업 성과로 구분",확정,DART 20250722900040
2025-07-31,T1,공시,긍정,최종 발행가 21350원·조달액 4178억,"최종 발행가는 1차보다 2.5% 낮지만 최초 예정가보다 50.1% 높음. 늘어난 자금은 시공 지원 장비 1,000억과 보유 선박 유지보수 395억에도 배정",확정,DART 20250731000247 / 20250731000264
2025-08-06,T1,공시,긍정,구주주 청약률 101.71%,"19,903,881주 청약으로 실권주가 없어 일반공모 미실시. 단수주 6,087주만 인수단이 인수",확정,DART 20250806900115
2025-08-28,T1,상장,중립,신주 1957만주 상장,"증자 후 보통주 52,238,854주. 당일 -2.89%, 기준일 대비 +38.2%·RS 125.5로 오버행을 소화",확정,DART 증권발행실적보고서 / 네이버 수정주가
2025-12-12,T2,시장,긍정,서해안 에너지고속도로 기대에 +24.15%,"정부 주도 전력망 구축 기대와 기관 17거래일 연속 순매수가 겹치며 52주 신고가. 신규 CLV가 미래 프로젝트 수행 자격으로 가격에 반영",확정,IBKS 일일 특징주 / 키움 투자자 수급
2026-02-06,T2,실적,부정,2025년 매출 +87.4%·영업이익 -43.4%,"연결 매출 2,442억으로 급증했으나 영업이익은 70억으로 감소. 자회사 연결로 매출이 늘고 GL2030 개조에 따른 영업일수 감소로 수익성 저하",확정,DART 20260206900272
2026-04-27,T2,계약,부정,안마해상풍력 940억 계약 해지,"발주처가 계약 해지를 통보. 공시는 장 마감 후 나왔고 다음 거래일 주가 -9.83%",확정,DART 20260427900710 / 네이버 수정주가
2026-05-04,T2,시장,긍정,글로벌 전력망·해저케이블 기대에 +29.88%,"AI 데이터센터 전력 수요와 OTC 2026 해저케이블 모멘텀에 상한가. 이틀 뒤 주가 50,100원·기준일 대비 +193.9%로 최고",확정,KB증권 장마감 코멘트 / 네이버 수정주가
2026-08-05,T2,실적,긍정,2026년 상반기 역대 최대 실적,"매출 1,482억(+33.0%), 영업이익 103억(+60.6%), 순이익 131억(+216.9%). 대만·싱가포르 등 기존 해저·지중 프로젝트가 견인. 당일 +6.6%",확정,DART 20260805900111 / LS그룹 보도자료
2026-08-14,T2,공시,중립,공모자금 사용실적 0원 확인,"2026년 6월 말 현재 4,178억원 공모자금의 실제 사용액은 0원. 공모·교환사채 미사용자금 중 1,400억원은 모회사 LS전선 단기대여금으로 운용",확정,DART 반기보고서 20260814001451
