date,phase,category,impact,title,detail,verified,source
2025-05-08,사전,공시,중립,직전 조달 — 제3자배정 유상증자 190억 납입,자금용도 운영자금. 본건 D-day의 정확히 1년 전이며 필수 감점 규칙(최근 3년 내 2회 이상 조달)의 근거,확정,DART 20260813001328 반기보고서
2026-05-13,T0,공시,부정,유상증자 결정 — 주주배정후 실권주 일반공모,신주 10762332주. 예정발행가 11150원·조달 1200억(시설550+운영500+채무상환150). 당일 종가 -3.29%,확정,DART 20260513000704
2026-05-14,T0,시장,부정,첫 반영일 -5.21% (초과 -6.42%p),공매도 금지기간 개시(2026-05-14~09-07),확정,시세데이터
2026-05-27,T1,규제,부정,금융감독원 정정신고서 제출요구,2026-05-13 제출 증권신고서 대상. 이후 일정이 약 5주 밀린다 — 이 지연이 발행가 산정 기산일을 7월 말로 이동시켰다,확정,DART 20260527100051
2026-06-08,T1,공시,부정,최대주주 에이치엘비생명과학 CB 100억 발행,토지·건물 담보. 청약자금 마련 목적. 1분기말 별도 현금은 38.96억뿐이었다,확정,DART 20260831001215 증권신고서
2026-06-10,T0,구분,중립,T0 종료 (D+20) — 초과 -17.0%p,회전율 0.51%/일(전체 평균의 0.50배). RS 80.6,확정,시세·수급데이터
2026-06-18,T1,공시,중립,증권신고서 1차 정정,정정요구에 따른 첫 정정. 이후 07-02·07-31·08-14·08-31까지 총 6회 정정,확정,DART 20260618000367
2026-07-09,T1,시장,긍정,RS 최고 116.7 — 기준일 대비 초과 플러스 전환,+6.17%. CRL 수령 하루 전이 이 국면의 정점이었다,확정,시세데이터
2026-07-10,T1,그룹,부정,모회사 HLB — 리보세라닙+캄렐리주맙 간암 1차 치료제 FDA CRL 수령,자율공시. 당일 -29.98%(초과 -35.45%p). 유상증자와 무관한 그룹 파이프라인 이벤트가 주가를 지배했다,확정,DART 20260710900006 (HLB 028300)
2026-07-13,T1,시장,부정,연이틀 급락 -28.01% — 기간 최저 5685원 · RS 최저 58.4,이틀 누적 -49.6%. 거래량 121만주로 폭증. D-day 대비 -60.3%,확정,시세데이터
2026-07-15,T1,시장,긍정,+30.01% 반등,이틀 뒤 거래량 230만주로 기간 최대,확정,시세데이터
2026-07-31,T1,가격,부정,1차 발행가액 산정 기산일 — 종가 7510원,신주배정기준일(08-05) 전 제3거래일. 정정요구가 없었다면 기산일은 06-26 전후였고 그때 주가는 10300~11700원대였다,확정,DART 20260803000237
2026-08-03,T1,공시,부정,1차 발행가 5650원 확정 (예정가 대비 -49.3%) · 조달 608억,채무상환 150억 전액과 운영자금 442억이 삭제됐다. 시설자금 550억만 남아 유형코드가 G에서 C로 바뀌었다. 같은 날 권리락,확정,DART 20260803000211
2026-08-05,T1,일정,중립,신주배정기준일,1주당 0.3281321329주 배정,확정,DART 20260803000211
2026-08-14,T1,공시,중립,반기보고서 — 2026 상반기 연결 매출 1279억·영업이익 10.0억,영업이익률 0.78%. 매출은 늘지만 판관비가 매출총이익을 거의 전부 소진하는 구조,확정,DART 20260813001328
2026-08-26,T1,수급,부정,최대주주등 미청약 신주인수권 1128196주 장내매도 개시,08-26~28. 배정분 2253113주 중 절반을 팔아 나머지 절반의 청약자금을 마련하는 구조,확정,DART 20260831001215
2026-09-01,T1,공시,중립,증권신고서 효력발생,2026-08-14 제출분,확정,DART 20260814100012
2026-09-04,T1,시장,중립,데이터 기준일 — 초과 -14.2%p · RS 79.5,명목 -45.1%이나 KOSDAQ이 같은 기간 -30.9%로 함께 하락,확정,시세데이터
2026-09-07,T2,일정,미확인,확정발행가 결정 예정,1차·2차 발행가 중 낮은 가액. 2차가 더 낮으면 조달액이 추가 축소된다,미확인,DART 20260803000211
2026-09-10,T2,일정,미확인,구주주 청약 (09-10~09-11),최대주주등 청약 예정 1124917주 = 배정분의 49.9%,미확인,DART 20260803000211
2026-09-18,T2,일정,미확인,납입일,실권율과 일반공모 청약률이 여기서 확정된다,미확인,DART 20260803000211
2026-10-07,T2,일정,미확인,신주 10762332주 상장 예정,잠재 희석 24.71%가 현실화되는 날,미확인,DART 20260803000211
