date,phase,category,impact,title,detail,verified,source
2025-03-20,T0,공시,부정,3조6000억 주주배정 유상증자 결정,"장 마감 후 신주 5,950,500주·예정가 605,000원 공시. 해외 방산 1.6조·국내 방산 0.9조·해외 조선 0.8조·무인기 엔진 0.3조 투자 계획",확정,DART / 한화에어로스페이스 유상증자 설명자료
2025-03-21,T0,시장,부정,첫 반영일 -13.02%,"대규모 희석과 자금조달 방식·한화오션 지분거래 논란으로 당시 종가 628,000원. 기관 순매도가 집중",확정,KRX·네이버 수정주가 / 이데일리
2025-03-27,T0,규제,부정,금감원 증권신고서 정정 요구,"투자계획과 자금 사용의 구체성 등에 대한 보완 요구로 일정 불확실성 확대",확정,금융감독원 / 뉴시스
2025-04-03,T0,시장,긍정,상대강도 100 회복,"첫 반영일 급락 뒤 10거래일 만에 KOSPI 대비 상대강도 100 회복",확정,네이버 수정주가
2025-04-08,T1,공시,긍정,주주배정 2.3조로 축소·3자배정 1.3조 제시,"주주배정 신주를 5,950,500주에서 4,267,200주로 줄이고 한화에너지 등 계열사가 할인 없이 1.3조원을 출자하는 구조로 변경. 당일 수정주가 +8.72%",확정,DART / 미래비전 설명자료
2025-04-18,T1,공시,긍정,계열사 1.3조 제3자배정 확정,"한화에너지·한화임팩트파트너스·한화에너지싱가포르가 주당 758,000원에 1,715,040주 인수 결정",확정,DART 20250418000538
2025-04-28,T1,납입,긍정,제3자배정 1.3조 납입 완료,"할인 없는 계열사 출자로 주주배정 부담 축소안이 실제 자금 투입으로 전환",확정,DART
2025-04-30,T1,실적,긍정,1Q25 영업이익 5608억 컨센서스 상회,"매출 5조4,842억·영업이익 5,608억. 유럽 K9·천무 수출, 생산성 향상과 한화오션 연결 효과가 견인. 신규 시설 기여는 아님",확정,한화에어로스페이스 / 연합뉴스
2025-05-07,T1,시장,긍정,상대강도 최고 126.3,"구조 변경과 기존 사업 호실적을 반영하며 기준일 이후 KOSPI 대비 상대강도 최고",확정,네이버 수정주가
2025-05-15,T1,상장,중립,제3자배정 신주 171만5040주 상장,"증자 전 45,581,161주에서 47,296,201주로 증가. 계열사 물량은 보호예수 적용",확정,DART / KRX
2025-05-20,T1,공시,긍정,주주배정 1차 발행가 684000원,"최초 예정가 605,000원보다 13.1% 높은 684,000원으로 1차 발행가 산정",확정,증권신고서 / KRX
2025-06-27,T1,공시,긍정,최종 발행가 684000원·2조9188억 확정,"신주 4,267,200주. 시설자금 7,000억·타법인증권취득 2조2,188억으로 최종 조달액이 수정 예정 2.3조원을 웃돎",확정,DART 20250627000349 / 회사 전자공고
2025-07-03,T1,청약,긍정,구주주 청약률 99.59%,"총 4,267,200주 중 4,249,544주 청약. 잔여 17,656주는 일반공모",확정,한화에어로스페이스 전자공고
2025-07-09,T1,납입,긍정,주주배정 유상증자 납입 완료,"주주배정 2조9,188억원 납입. 두 차례 증자 합계 조달액 약 4조2,188억원",확정,DART 증권발행실적보고서
2025-07-21,T1,상장,중립,주주배정 신주 426만7200주 상장,"증자 후 보통주 51,563,401주. 기준일 대비 수정주가 +29.3%, RS 106.2",확정,KRX / 네이버 수정주가
2025-07-31,T2,실적,긍정,2Q25 영업이익 8644억 서프라이즈,"매출 6조2,735억·영업이익 8,644억. 지상방산 영업이익 5,543억과 천무 조기 공급이 견인. 신규 증설 기여 전 실적",확정,한화에어로스페이스 / 삼성증권
2025-11-03,T2,실적,긍정,3Q25 영업이익 8564억,"매출 6조4,865억·영업이익 8,564억. 지상방산과 한화오션 호조로 3분기 기준 최대",확정,한화에어로스페이스
2025-12-29,T2,계약,긍정,폴란드 천무 유도탄 약 5.6조 계약,"한화-WB 합작법인이 참여한 3차 실행계약. 현지 생산투자와 고객 주문이 연결된 핵심 증거",확정,한화에어로스페이스 / 폴란드 군비청
2026-02-09,T2,실적,긍정,2025년 영업이익 3조345억 사상 최대,"연결 매출 26조6,078억·영업이익 3조345억. 지상방산 영업이익은 2조129억, 수주잔고 37.2조. 한화오션 연결 효과 포함",확정,한화에어로스페이스
2026-04-07,T2,시장,긍정,기준일 대비 주가 최고 +116.2%,"수정주가 1,537,000원. 절대주가는 두 배를 넘었지만 KOSPI 동기간 상승으로 RS는 103.8",확정,네이버 수정주가
2026-04-30,T2,실적,중립,1Q26 영업이익 6389억·지상방산 마진 둔화,"연결 영업이익은 21% 늘었지만 지상방산 영업이익은 31% 감소. 수주잔고는 39.7조원",확정,한화에어로스페이스
2026-05-27,T2,투자,중립,국내 MCS 공장 투자비 증액 승인,"이사회가 MCS Plant 투자비 증액을 승인. 이후 공시상 투자금은 6,673억에서 8,538억으로 늘고 종료일은 2028년 1월로 연장",확정,한화에어로스페이스 이사회 / 신규시설투자 정정
2026-07-31,T2,실적,긍정,2Q26 영업이익 1조3655억,"매출 9조2,929억·영업이익 1조3,655억. 폴란드·이집트·중동 납품 확대가 견인했지만 해외 신규 공장은 아직 가동 전",확정,한화에어로스페이스 실적발표 / 언론 보도
2026-09-04,T2,시장,부정,절대상승에도 RS 58.5,"기준일 대비 주가 +48.4%지만 KOSPI +153.6%로 초과수익 -105.2%p. 시설투자 기대만으로 지속적 상대수익을 보장하지 못함",확정,네이버 수정주가
